WU_PRTNO,WU_DESC
571-073682-64547,"CONFIG,TM,VTM, 2300"
571-073682-59956,"CONFIG,TM,VTM, 2300"
571-073682-34490,"CONFIG,TM,VTM, 2300"
571-073682-34511,"CONFIG,TM,VTM, 2300"
571-073682-34626,"CONFIG,TM,VTM, 2300"
570-073682-70101,"CONFIG,TM,VTM, 2300"
571-073682-26703,"CONFIG,TM,VTM, 2300"
571-073682-26705,"CONFIG,TM,VTM, 2300"
571-073682-26711,"CONFIG,TM,VTM, 2300"
571-073682-26713,"CONFIG,TM,VTM, 2300"
571-073682-26716,"CONFIG,TM,VTM, 2300"
571-073682-26745,"CONFIG,TM,VTM, 2300"
571-073682-26746,"CONFIG,TM,VTM, 2300"
571-073682-26805,"CONFIG,TM,VTM, 2300"
571-073682-26840,"CONFIG,TM,VTM, 2300"
571-073682-26917,"CONFIG,TM,VTM, 2300"
571-073682-27353,"CONFIG,TM,VTM, 2300"
571-073682-27410,"CONFIG,TM,VTM, 2300"
571-073682-27526,"CONFIG,TM,VTM, 2300"
571-073682-27857,"CONFIG,TM,VTM, 2300"
571-073682-27857A,"CONFIG,TM,VTM, 2300"
571-073682-27871,"CONFIG,TM,VTM, 2300"
571-073682-27872,"CONFIG,TM,VTM, 2300"
571-073682-27873,"CONFIG,TM,VTM, 2300"
571-073682-27874,"CONFIG,TM,VTM, 2300"
571-073682-27878,"CONFIG,TM,VTM, 2300"
571-073682-27884,"CONFIG,TM,VTM, 2300"
571-073682-27885,"CONFIG,TM,VTM, 2300"
571-073682-27886,"CONFIG,TM,VTM, 2300"
571-073682-27887,"CONFIG,TM,VTM, 2300"
571-073682-27900,"CONFIG,TM,VTM, 2300"
571-073682-27908,"CONFIG,TM,VTM, 2300"
571-073682-27924,"CONFIG,TM,VTM, 2300"
571-073682-27934,"CONFIG,TM,VTM, 2300"
571-073682-27954,"CONFIG,TM,VTM, 2300"
571-073682-27998,"CONFIG,TM,VTM, 2300"
571-073682-28025,"CONFIG,TM,VTM, 2300"
571-073682-28086,"CONFIG,TM,VTM, 2300"
571-073682-28131,"CONFIG,TM,VTM, 2300"
571-073682-28133,"CONFIG,TM,VTM, 2300"
571-073682-28196,"CONFIG,TM,VTM, 2300"
571-073682-28517,"CONFIG,TM,VTM, 2300"
571-073682-28519,"CONFIG,TM,VTM, 2300"
571-073682-28532,"CONFIG,TM,VTM, 2300"
571-073682-28535,"CONFIG,TM,VTM, 2300"
571-073682-28539,"CONFIG,TM,VTM, 2300"
571-073682-28581,"CONFIG,TM,VTM, 2300"
571-073682-28587,"CONFIG,TM,VTM, 2300"
571-073682-28588,"CONFIG,TM,VTM, 2300"
571-073682-28589,"CONFIG,TM,VTM, 2300"
571-073682-28610,"CONFIG,TM,VTM, 2300"
571-073682-28721,"CONFIG,TM,VTM, 2300"
571-073682-28795,"CONFIG,TM,VTM, 2300"
571-073682-28796,"CONFIG,TM,VTM, 2300"
571-073682-28797,"CONFIG,TM,VTM, 2300"
571-073682-28798,"CONFIG,TM,VTM, 2300"
571-073682-28890,"CONFIG,TM,VTM, 2300"
571-073682-28986,"CONFIG,TM,VTM, 2300"
571-073682-29024,"CONFIG,TM,VTM, 2300"
571-073682-29121,"CONFIG,TM,VTM, 2300"
571-073682-29290,"CONFIG,TM,VTM, 2300"
571-073682-29291,"CONFIG,TM,VTM, 2300"
571-073682-29292,"CONFIG,TM,VTM, 2300"
571-073682-29294,"CONFIG,TM,VTM, 2300"
571-073682-29295,"CONFIG,TM,VTM, 2300"
571-073682-29296,"CONFIG,TM,VTM, 2300"
571-073682-29300,"CONFIG,TM,VTM, 2300"
571-073682-29382,"CONFIG,TM,VTM, 2300"
571-073682-29419,"CONFIG,TM,VTM, 2300"
571-073682-29420,"CONFIG,TM,VTM, 2300"
571-073682-29441,"CONFIG,TM,VTM, 2300"
571-073682-29483,"CONFIG,TM,VTM, 2300"
571-073682-29525,"CONFIG,TM,VTM, 2300"
571-073682-29575,"CONFIG,TM,VTM, 2300"
571-073682-29577,"CONFIG,TM,VTM, 2300"
571-073682-29578,"CONFIG,TM,VTM, 2300"
571-073682-29579,"CONFIG,TM,VTM, 2300"
571-073682-29580,"CONFIG,TM,VTM, 2300"
571-073682-29683,"CONFIG,TM,VTM, 2300"
571-073682-29687,"CONFIG,TM,VTM, 2300"
571-073682-29712,"CONFIG,TM,VTM, 2300"
571-073682-29745,"CONFIG,TM,VTM, 2300"
571-073682-29750,"CONFIG,TM,VTM, 2300"
571-073682-29754,"CONFIG,TM,VTM, 2300"
571-073682-29794,"CONFIG,TM,VTM, 2300"
571-073682-29795,"CONFIG,TM,VTM, 2300"
571-073682-29801,"CONFIG,TM,VTM, 2300"
571-073682-29805,"CONFIG,TM,VTM, 2300"
571-073682-29904,"CONFIG,TM,VTM, 2300"
571-073682-29910,"CONFIG,TM,VTM, 2300"
571-073682-29911,"CONFIG,TM,VTM, 2300"
571-073682-29913,"CONFIG,TM,VTM, 2300"
571-073682-29921,"CONFIG,TM,VTM, 2300"
571-073682-29922,"CONFIG,TM,VTM, 2300"
571-073682-29925,"CONFIG,TM,VTM, 2300"
571-073682-29991,"CONFIG,TM,VTM, 2300"
571-073682-29994,"CONFIG,TM,VTM, 2300"
571-073682-30010,"CONFIG,TM,VTM, 2300"
571-073682-30036,"CONFIG,TM,VTM, 2300"
571-073682-30037,"CONFIG,TM,VTM, 2300"
571-073682-30145,"CONFIG,TM,VTM, 2300"
571-073682-30146,"CONFIG,TM,VTM, 2300"
571-073682-30148,"CONFIG,TM,VTM, 2300"
571-073682-30159,"CONFIG,TM,VTM, 2300"
571-073682-30165,"CONFIG,TM,VTM, 2300"
571-073682-30166,"CONFIG,TM,VTM, 2300"
571-073682-30316,"CONFIG,TM,VTM, 2300"
571-073682-30317,"CONFIG,TM,VTM, 2300"
571-073682-30320,"CONFIG,TM,VTM, 2300"
571-073682-30327,"CONFIG,TM,VTM, 2300"
571-073682-30342,"CONFIG,TM,VTM, 2300"
571-073682-30379,"CONFIG,TM,VTM, 2300"
571-073682-30411,"CONFIG,TM,VTM, 2300"
